term_name,description,field_authority_link,field_location_of_meeting,field_num_of_section_or_meet,field_primary_name,,field_subordinate_name,,field_unique_id
H. H. Sidman Co.,,http://id.loc.gov/authorities/names/no2019172956|||lcnaf|http://viaf.org/viaf/34157468020622322976|||viaf,,,H. H. Sidman Co.,,,,7816db97-764c-4755-89d3-bad828505d6c
Hardie Brothers,Location information: Puerto Rico|basic_html|Location information: Puerto Rico,,,,Hardie Brothers,,,,5d12e55b-03f7-49fe-b355-5c58bc89c5b2
"Harriet Lane Home (Baltimore, Md.)",,http://viaf.org/viaf/143139005|||viaf|http://id.loc.gov/authorities/names/n85244853|||lcnaf,,,"Harriet Lane Home (Baltimore, Md.)",,,,0f6477e8-e778-493a-b4c7-3c8a085a6309
Harris & Ewing,"Location information: Washington, DC|basic_html|Location information: Washington, DC",http://viaf.org/viaf/147865168|||viaf|http://id.loc.gov/authorities/names/n88646991|||lcnaf,,,Harris & Ewing,,,,1ce72897-fa6c-4483-a731-58bae89d16fb
"Harry and Jeanette Weinberg Foundation, Inc.",,http://viaf.org/viaf/317131959|||viaf,,,"Harry and Jeanette Weinberg Foundation, Inc.",,,,6cca9b46-1068-4f9a-a527-ee03f6e669f2
Harvard University,,http://viaf.org/viaf/128987800|||viaf|http://id.loc.gov/authorities/names/n78096930|||lcnaf,,,Harvard University,,,,346f3777-d299-4494-9615-150f88475c92
Haverford College,,http://viaf.org/viaf/125160105|||viaf|http://id.loc.gov/authorities/names/n50078129|||lcnaf,,,Haverford College,,,,0c1b45d8-4157-42c8-8979-951188a293a5
Hayden Planetarium. Junior Astronomy Club,,http://viaf.org/viaf/143161333|||viaf|http://id.loc.gov/authorities/names/n87813981|||lcnaf,,,Hayden Planetarium,,Junior Astronomy Club,,36b2d211-bacb-4506-84f5-31807d3cc09f
Hicks photofinishers,,,,,Hicks photofinishers,,,,e8ce1519-6399-494b-a9ae-534cd1fae555
Hill & Yard,"Location information: San Jose, CA|basic_html|Location information: San Jose, CA",,,,Hill & Yard,,,,e71e7e4d-e0af-4f96-9066-8b1c3d87ba05
Hodges Art Gallery,"Location information: Bristol, TN|basic_html|Location information: Bristol, TN",,,,Hodges Art Gallery,,,,60a1b143-656a-49c0-ba88-2b6116bad3ce
Holmes I. Mettee Studio,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Holmes I. Mettee Studio,,,,ca1daf74-b944-4ca1-9a52-ee9afcbb2c53
Homeier & Clark,"Location information: Richmond, VA|basic_html|Location information: Richmond, VA",,,,Homeier & Clark,,,,62e9f42b-4897-41eb-9968-8fbd671a766b
Homewood House Museum (Johns Hopkins University),,http://viaf.org/viaf/136243272|||viaf|http://id.loc.gov/authorities/names/n2004000827|||lcnaf,,,Homewood House Museum (Johns Hopkins University),,,,b54144e2-8411-4414-b0e3-554d0af37a51
Honeywell Inc.,,http://viaf.org/viaf/151836187|||viaf|http://id.loc.gov/authorities/names/n80013453|||lcnaf,,,Honeywell Inc.,,,,9776cd6d-0bb1-40af-84bc-1d8c8bac65b1
Hopkins-Nanjing Center,,http://viaf.org/viaf/233414826|||viaf|http://id.loc.gov/authorities/names/n2012016287|||lcnaf,,,Hopkins-Nanjing Center,,,,9480b27b-a5b1-4dbb-a0f6-20e4c1952462
"Horace Mann School (New York, N.Y.)",,http://viaf.org/viaf/125419390|||viaf|http://id.loc.gov/authorities/names/no2001097239|||lcnaf,,,"Horace Mann School (New York, N.Y.)",,,,9f53fb7d-e7be-44cb-a089-f1987b939e6b
Horton Brothers,"Location information: Providence, RI|basic_html|Location information: Providence, RI",,,,Horton Brothers,,,,2d32f679-739c-4235-8841-e479139f16ad
Howard County Public School System (Md.),,http://viaf.org/viaf/143161615|||viaf|http://id.loc.gov/authorities/names/n87819547|||lcnaf,,,Howard County Public School System (Md.),,,,dad17e2d-766d-4068-a42b-c256059353c1
Hubble Space Telescope (Spacecraft),,http://viaf.org/viaf/121711981|||viaf|http://id.loc.gov/authorities/names/n91011423|||lcnaf,,,Hubble Space Telescope (Spacecraft),,,,3c01e5b1-da02-4f11-b2e9-09eec6ea9188
Hughes Co.,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Hughes Co.,,,,397d77c7-0baa-40c3-abff-e6cf8f1a667d
Human Genome Project,,http://viaf.org/viaf/124272354|||viaf|http://id.loc.gov/authorities/names/n88044943|||lcnaf,,,Human Genome Project,,,,1aac3e85-3573-4a35-acc7-5c6ce9e23df8
Hutzler's (Firm),,http://viaf.org/viaf/158491358|||viaf|http://id.loc.gov/authorities/names/n2006163853|||lcnaf,,,Hutzler's (Firm),,,,f62a505e-6d04-4429-a94f-6720db063351tid
I. H. L. Gallery,"Location information: Philadelphia, PA|basic_html|Location information: Philadelphia, PA",,,,I. H. L. Gallery,,,,fbe0942d-7b99-4adb-82c7-6e41dfb78c4d
Institute of Medicine (U.S.),,http://viaf.org/viaf/156984772|||viaf|http://id.loc.gov/authorities/names/n79129181|||lcnaf,,,Institute of Medicine (U.S.),,,,e0948213-482e-4d95-8ef8-eada2cfaccb4
Interstate Photographers,,,,,Interstate Photographers,,,,e0d96c7c-66b1-4651-b3c4-1ae267a283b2
J. C. & S.G. Crabb Phelps Studio,,,,,J. C. & S.G. Crabb Phelps Studio,,,,06daa9bd-586b-436d-a6ce-a615348fb37e
J. Dalinon Studio,SS Ile-de-France|basic_html|SS Ile-de-France,,,,J. Dalinon Studio,,,,457080f6-62cd-4b26-b0a0-21de297b119c
J. H. Schaefer & Son,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,J. H. Schaefer & Son,,,,635421bf-1f9e-460f-8414-fa102b3422ba
J. Shaefer & Sons,,,,,J. Shaefer & Sons,,,,f1a82d1a-7f94-4136-ae8a-7417a591d792
J. Sussman Photo Stock Co.,,,,,J. Sussman Photo Stock Co.,,,,03503b0f-1d33-4a3f-87d6-9a382a405a2a
James F. Hughes Co.,,,,,James F. Hughes Co.,,,,4a8c196e-3f7e-46f5-874c-e4f427b9a061
James Webb Space Telescope (Spacecraft),,http://viaf.org/viaf/129468073|||viaf|http://id.loc.gov/authorities/names/nr97043411|||lcnaf,,,James Webb Space Telescope (Spacecraft),,,,211124d5-6b05-4f14-87c4-c9280250d059
Jeffres & Rogers,,,,,Jeffres & Rogers,,,,bcac9431-32c9-459b-874c-8b885d4004b0
John F. Kennedy Space Center,,http://viaf.org/viaf/144777016|||viaf|http://id.loc.gov/authorities/names/n50082518|||lcnaf,,,John F. Kennedy Space Center,,,,fb097c08-ad1b-4131-9fe1-a61597c57148
John Work Garrett Library,,http://viaf.org/viaf/148961094|||viaf|http://id.loc.gov/authorities/names/n83127870|||lcnaf,,,John Work Garrett Library,,,,8ece9bc1-8dcf-46dd-a4cb-b077978936dd
Johns Hopkins Archaeological Museum,,,,,Johns Hopkins Archaeological Museum,,,,b94c5311-6d91-4515-8add-6f080ca84cb3
Johns Hopkins Bloomberg School of Public Health,,http://viaf.org/viaf/142356070|||viaf|http://id.loc.gov/authorities/names/nr2001039005|||lcnaf,,,Johns Hopkins Bloomberg School of Public Health,,,,3ec0b8ec-6044-4c46-9a76-c49182c85d08
Johns Hopkins Fund,,,,,Johns Hopkins Fund,,,,7cdbe927-a194-4452-9264-959c55ce6f4a
Johns Hopkins History of Ideas Club,,,,,Johns Hopkins History of Ideas Club,,,,22e4f1ba-72f0-4205-8b21-3e8758606527
Johns Hopkins Hospital,,http://viaf.org/viaf/156554994|||viaf|http://id.loc.gov/authorities/names/n81070678|||lcnaf,,,Johns Hopkins Hospital,,,,953741c0-db0d-4fc9-9fb0-20de76f89ed5
Johns Hopkins Hospital. Osler Medical Service,,http://viaf.org/viaf/143280012|||viaf|http://id.loc.gov/authorities/names/n2005184660|||lcnaf,,,Johns Hopkins Hospital,,Osler Medical Service,,03471b41-ebdc-4824-b4c7-fff6e8f30c79
Johns Hopkins Hospital. School of Nursing,,http://viaf.org/viaf/136130086|||viaf|http://id.loc.gov/authorities/names/n86804468|||lcnaf,,,Johns Hopkins Hospital,,School of Nursing,,f1e170fc-8d17-42fa-af06-c1bdc604fac5
Johns Hopkins Institute for Policy Studies,,http://viaf.org/viaf/127977764|||viaf|http://id.loc.gov/authorities/names/n91053214|||lcnaf,,,Johns Hopkins Institute for Policy Studies,,,,f6b90106-af3f-468f-84f1-adf4b646711f
Johns Hopkins Medical Institutions,,http://viaf.org/viaf/143155100|||viaf|http://id.loc.gov/authorities/names/n86141311|||lcnaf,,,Johns Hopkins Medical Institutions,,,,136d3048-c3e7-477d-b708-f9e883ab3bdf
Johns Hopkins Medicine,,http://viaf.org/viaf/124687331|||viaf|http://id.loc.gov/authorities/names/no2004047258|||lcnaf,,,Johns Hopkins Medicine,,,,c6599b89-93f7-45b6-bf4b-dbcd2818e4b9
Johns Hopkins Philological Association,,http://viaf.org/viaf/148463521|||viaf,,,Johns Hopkins Philological Association,,,,8fac58d0-7e50-4070-8bbe-eeadb044123a
Johns Hopkins University,,http://viaf.org/viaf/141846012|||viaf|http://id.loc.gov/authorities/names/n79061226|||lcnaf,,,Johns Hopkins University,,,,63e5c2b5-90c3-4b7d-acb9-ef6713245805
Johns Hopkins University. Applied Physics Laboratory,,http://viaf.org/viaf/151126521|||viaf|http://id.loc.gov/authorities/names/n79125895|||lcnaf,,,Johns Hopkins University,,Applied Physics Laboratory,,097bb7c5-6df6-4607-98eb-53507dd5c2a6
Johns Hopkins University. Atlantic Program,,,,,Johns Hopkins University,,Atlantic Program,,e6910bcd-6d1c-41e9-ba2d-85ef47ccd876
Johns Hopkins University. Barnstormers,,,,,Johns Hopkins University,,Barnstormers,,bf419cfd-643e-4b3a-acd8-652690892fa2
Johns Hopkins University. Bologna Center,,http://viaf.org/viaf/132578531|||viaf|http://id.loc.gov/authorities/names/n84199716|||lcnaf,,,Johns Hopkins University,,Bologna Center,,2185cb86-d489-4054-8e40-c5e4666d5e4a
Johns Hopkins University. Center for Social Organization of Schools,,http://viaf.org/viaf/125519476|||viaf|http://id.loc.gov/authorities/names/n82226979|||lcnaf,,,Johns Hopkins University,,Center for Social Organization of Schools,,5ed6f887-f339-49f8-8a65-4611f0185223
Johns Hopkins University. Center for Talented Youth,,http://viaf.org/viaf/123451653|||viaf|http://id.loc.gov/authorities/names/no95015266|||lcnaf,,,Johns Hopkins University,,Center for Talented Youth,,b457cc79-299f-4624-b569-b45fa97882b4
Johns Hopkins University. Department of Anthropology,,http://viaf.org/viaf/1098145857098122922170|||viaf,,,Johns Hopkins University,,Department of Anthropology,,36add96f-f4aa-4b20-8041-76f3a36076a2
Johns Hopkins University. Department of Earth and Planetary Sciences,,http://viaf.org/viaf/132575413|||viaf|http://id.loc.gov/authorities/names/n84134818|||lcnaf,,,Johns Hopkins University,,Department of Earth and Planetary Sciences,,b6505e4f-0506-4d14-9192-8e6a2332e869
Johns Hopkins University. Department of History,,http://id.loc.gov/authorities/names/n86007797|||lcnaf|http://viaf.org/viaf/136122686|||viaf,,,Johns Hopkins University,,Department of History,,1f2d9f8e-c366-4073-8d42-0ff7ef6c02c3
"Johns Hopkins University. Department of Writing, Speech, and Drama",,,,,Johns Hopkins University,,"Department of Writing, Speech, and Drama",,3e5b0a31-7a76-4c26-8cbe-97d323a2513f
Johns Hopkins University. Evening College,,http://viaf.org/viaf/127890897|||viaf|http://id.loc.gov/authorities/names/n84081729|||lcnaf,,,Johns Hopkins University,,Evening College,,486ac0b2-a29c-42f4-9d8b-5ca596077389
Johns Hopkins University. Evening College and Summer Session,,,,,Johns Hopkins University,,Evening College and Summer Session,,7b0d9230-a6a3-4064-b7e1-dbe34ce6defb
Johns Hopkins University. Evergreen Society,,,,,Johns Hopkins University,,Evergreen Society,,c71a2139-9b21-4207-a5a4-18841f55ed3a
Johns Hopkins University. Glee Club,,,,,Johns Hopkins University,,Glee Club,,c42288d0-71ed-485a-85ac-22a072f2ea76
Johns Hopkins University. Health Associate Program,,http://viaf.org/viaf/148934060|||viaf|http://id.loc.gov/authorities/names/n81083239|||lcnaf,,,Johns Hopkins University,,Health Associate Program,,5bad4bbd-c3d3-490d-8f54-c1df45b37c82
Johns Hopkins University. Humanities Center,,http://viaf.org/viaf/125615891|||viaf|http://id.loc.gov/authorities/names/n90606510|||lcnaf,,,Johns Hopkins University,,Humanities Center,,b618c8ac-0fe1-4a40-aa57-74dd5d3f3362
Johns Hopkins University. Institute of the History of Medicine,,http://viaf.org/viaf/158900433|||viaf|http://id.loc.gov/authorities/names/n79102771|||lcnaf,,,Johns Hopkins University,,Institute of the History of Medicine,,bb9f169e-8a0f-47a2-be28-da13c9110926
Johns Hopkins University. McCoy College,,,,,Johns Hopkins University,,McCoy College,,572c04b0-fcce-4c75-9e14-b2adcedd3ee3
Johns Hopkins University. Odyssey,,,,,Johns Hopkins University,,Odyssey,,6157e12a-a3b6-4ace-9b56-5882c64b73d5
Johns Hopkins University. Peabody Institute,,http://viaf.org/viaf/139619418|||viaf|http://id.loc.gov/authorities/names/n85129669|||lcnaf,,,Johns Hopkins University,,Peabody Institute,,34f7bb79-c588-4f55-a370-d6db66a4d9ce
Johns Hopkins University. Press,,http://viaf.org/viaf/157408888|||viaf|http://id.loc.gov/authorities/names/no96037631|||lcnaf,,,Johns Hopkins University,,Press,,2dba65ac-d660-4e2d-bea2-5d909be8d08a
Johns Hopkins University. School of Advanced International Studies,,http://viaf.org/viaf/141934613|||viaf|http://id.loc.gov/authorities/names/n83178168|||lcnaf,,,Johns Hopkins University,,School of Advanced International Studies,,347ea0f5-6665-43d4-abad-77eb3c9e15f2
Johns Hopkins University. School of Continuing Studies,,http://viaf.org/viaf/134948218|||viaf|http://id.loc.gov/authorities/names/n86007796|||lcnaf,,,Johns Hopkins University,,School of Continuing Studies,,a9f1b6af-e220-4b26-a453-cb3bec9363ae
Johns Hopkins University. School of Education,,http://viaf.org/viaf/308241783|||viaf|http://id.loc.gov/authorities/names/no2014053157|||lcnaf,,,Johns Hopkins University,,School of Education,,f0000229-4883-415b-affb-94498a761c13
Johns Hopkins University. School of Engineering,,http://viaf.org/viaf/140260150|||viaf|http://id.loc.gov/authorities/names/n83168720|||lcnaf,,,Johns Hopkins University,,School of Engineering,,3dea18a4-874e-4192-8333-3fd51243aedc
Johns Hopkins University. School of Hygiene and Public Health,,http://viaf.org/viaf/151152313|||viaf|http://id.loc.gov/authorities/names/n80013549|||lcnaf,,,Johns Hopkins University,,School of Hygiene and Public Health,,c6d5e342-0f0f-4045-aad9-87d793822102
Johns Hopkins University. School of Medicine,,http://viaf.org/viaf/124344829|||viaf|http://id.loc.gov/authorities/names/n81070677|||lcnaf,,,Johns Hopkins University,,School of Medicine,,107997ff-1c14-4dc4-aae9-022a273c9b4d
Johns Hopkins University. School of Nursing,,http://viaf.org/viaf/129217975|||viaf|http://id.loc.gov/authorities/names/n2005183866|||lcnaf,,,Johns Hopkins University,,School of Nursing,,b0945658-b3cc-4e7c-862f-d51da992b3da
Johns Hopkins University. School of Professional Studies in Business and Education,,,,,Johns Hopkins University,,School of Professional Studies in Business and Education,,cffa3aea-8e5a-4bc8-9264-e4fcfd3ad6f0
Johns Hopkins University. Spring Fair,,,,,Johns Hopkins University,,Spring Fair,,4b102301-beb4-404a-9c42-40e352aa6632
Johns Hopkins University. Study of Exceptional Talent,,http://viaf.org/viaf/142199214|||viaf|http://id.loc.gov/authorities/names/no97006160|||lcnaf,,,Johns Hopkins University,,Study of Exceptional Talent,,571034c6-4264-4a20-9e9d-db75c681a28f
Johns Hopkins University. Writing Seminars,,,,,Johns Hopkins University,,Writing Seminars,,8bb448a3-fa62-42ef-9f3b-c3d2a75e4393
Johnston Brothers,,,,,Johnston Brothers,,,,397862ef-a334-404a-9d98-771d1b8de11d
Kenneth M. Brooks Studio,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Kenneth M. Brooks Studio,,,,3f137bd0-16a2-4277-8a16-3dfce5816559
"Kenneth R. Sanderson, Inc.","Location information: Garden City, NY|basic_html|Location information: Garden City, NY",,,,"Kenneth R. Sanderson, Inc.",,,,f5a7507d-7daa-42f2-8dff-3ed6ee5311c2
Kitt Peak National Observatory,,http://viaf.org/viaf/126673157|||viaf|http://id.loc.gov/authorities/names/n80152888|||lcnaf,,,Kitt Peak National Observatory,,,,8670efd9-1ddb-41b7-b5fd-9d625f200cf7
Knowlton Bros.,,http://viaf.org/viaf/145825756|||viaf|http://id.loc.gov/authorities/names/no2010103964|||lcnaf,,,Knowlton Bros.,,,,3bf5208b-68f2-46d1-b0c3-511e03d88f38
Ku Klux Klan (1915- ),,http://viaf.org/viaf/136817688|||viaf|http://id.loc.gov/authorities/names/n80076145|||lcnaf,,,Ku Klux Klan (1915- ),,,,4331b175-f2bc-48d5-8bce-7b4ebf2b5dce
Kuhn & Cummins,,,,,Kuhn & Cummins,,,,836e46f0-a23d-4293-9a98-8faf1589e27b
Lacrosse Hall of Fame and Museum,,http://viaf.org/viaf/154928412|||viaf|http://id.loc.gov/authorities/names/n95012252|||lcnaf,,,Lacrosse Hall of Fame and Museum,,,,7a8c3cee-440f-4eda-af41-067fe7546c86
Lancaster News Era,"Location information: Lancaster, PA|basic_html|Location information: Lancaster, PA",,,,Lancaster News Era,,,,d05b6339-bb5f-42fd-94ec-70a7750750a3
Lee Brothers,"Location information: Minneapolis, MN|basic_html|Location information: Minneapolis, MN",,,,Lee Brothers,,,,ec87883f-d34f-4ae6-8a0a-c4d80a7608cd
Lightner Photography,,,,,Lightner Photography,,,,eceefee3-b0c8-4953-9dd5-9257b14ebd68
London School of Economics and Political Science,,http://viaf.org/viaf/124127252|||viaf|http://id.loc.gov/authorities/names/n80038497|||lcnaf,,,London School of Economics and Political Science,,,,80d2b59b-4efa-4cf1-b88f-f91158c436e2
Long-Term Ecological Research Program,,http://viaf.org/viaf/128193170|||viaf|http://id.loc.gov/authorities/names/n92020149|||lcnaf,,,Long-Term Ecological Research Program,,,,76a2d04c-edb3-44c9-b0e4-bbb8bf4a9012
Los Angeles Urban League,,http://viaf.org/viaf/132566203|||viaf|http://id.loc.gov/authorities/names/n83218421|||lcnaf,,,Los Angeles Urban League,,,,f26871e1-7975-4e16-abeb-af27bd27d0ab
"Louisiana State University (Baton Rouge, La.)",,http://id.loc.gov/authorities/names/n80020543|||lcnaf|http://viaf.org/viaf/312543043|||viaf,,,"Louisiana State University (Baton Rouge, La.)",,,,758c7be3-d366-4d61-b945-2ec66b6b3be8
Lowry Photo,,,,,Lowry Photo,,,,565cc9c3-5704-4ae8-b09c-d499bf81929b
Lubitsh & Bungarz,"Location information: Wilmington, DE|basic_html|Location information: Wilmington, DE",,,,Lubitsh & Bungarz,,,,a8b61f2c-8af1-419c-b628-974990ca5bef
Luedeke Studio,"Location information: Buffalo, NY|basic_html|Location information: Buffalo, NY",,,,Luedeke Studio,,,,c9fdcb29-da3f-4cce-ac4d-39194f278594
"Lyric Theater (Baltimore, Md.)",,http://viaf.org/viaf/131508964|||viaf|http://id.loc.gov/authorities/names/n95050616|||lcnaf,,,"Lyric Theatre (Baltimore, Md.)",,,,77004933-80cc-4f8a-b8b1-a631ba13e186
Maine (Battleship),,http://viaf.org/viaf/170006574|||viaf|http://id.loc.gov/authorities/names/n87931204|||lcnaf,,,Maine (Battleship),,,,de39a170-070c-47c7-ab3c-9648ec391d51
"Maps, Incorporated",,,,,"Maps, Incorporated",,,,8d27871b-5a13-4ec8-ad64-4f4cf880b531
Marshall Plan,,http://viaf.org/viaf/152514704|||viaf|http://id.loc.gov/authorities/names/n85229815|||lcnaf,,,Marshall Plan,,,,46f9334c-238a-4b53-9092-83b9090385a0
Maryland Higher Education Commission,,http://viaf.org/viaf/145528395|||viaf|http://id.loc.gov/authorities/names/n88207172|||lcnaf,,,Maryland Higher Education Commission,,,,9c224943-ea4e-49a3-98b3-7b207878bb05
Maryland Independent College and University Association,,,,,Maryland Independent College and University Association,,,,507bae26-852d-4b70-ad4d-c4853cc40d55
"Maryland National Guard. 104th Photo Section, 29th",,,,,Maryland National Guard,,"104th Photo Section, 29th",,02d63032-868b-46b1-b2a1-7b763e0dc30e
Maryland Photo Stock Co.,,,,,Maryland Photo Stock Co.,,,,f6037ad2-bad6-4af2-b118-b15e406f1676
Maryland Science Center,,http://viaf.org/viaf/151541529|||viaf|http://id.loc.gov/authorities/names/no00037338|||lcnaf,,,Maryland Science Center,,,,ed5fbd20-f553-492a-ba4f-4a568ce3ec75
Maryland. General Assembly,,http://viaf.org/viaf/126665183|||viaf|http://id.loc.gov/authorities/names/n80046011|||lcnaf,,,Maryland,,General Assembly,,1b44a262-6041-4d1a-a24c-511d68daee8c
Maryland. Health Services Cost Review Commission,,http://viaf.org/viaf/157146549|||viaf|http://id.loc.gov/authorities/names/n83184747|||lcnaf,,,Maryland,,Health Services Cost Review Commission,,5243cb44-42f2-44b8-8067-06b5c68d61bd
Maryland. Office of Administrative Hearings,,http://viaf.org/viaf/146727810|||viaf|http://id.loc.gov/authorities/names/n93002932|||lcnaf,,,Maryland,,Office of Administrative Hearings,,6edd887a-1145-4c5a-917e-c8c0e963ec5c
Massachusetts Institute of Technology,,http://viaf.org/viaf/150025207|||viaf|http://id.loc.gov/authorities/names/n79006591|||lcnaf,,,Massachusetts Institute of Technology,,,,4124ac94-160f-4f50-965e-28119992b2aa
Matar Studio,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,Matar Studio,,,,a97b6f38-bb85-4015-bdf7-8f5600629bd5
Mathew Francis Studio,,,,,Mathew Francis Studio,,,,5e7eef7f-ffce-4baa-822a-5f7b138ddfbb
Mayo Clinic,,http://viaf.org/viaf/127763366|||viaf|http://id.loc.gov/authorities/names/n79026897|||lcnaf,,,Mayo Clinic,,,,e5c0ca78-d0c7-48ad-8760-d008f4c2f10a
"McKim, Mead & White",Location information: New York|basic_html|Location information: New York,,,,"McKim, Mead & White",,,,dc6030d1-0dbe-46e5-aeda-55943a82ee26
"Memorial Stadium (Baltimore, Md.)",,http://viaf.org/viaf/316593993|||viaf|http://id.worldcat.org/fast/673892|||other,,,"Memorial Stadium (Baltimore, Md.)",,,,776f1203-d4ed-4d04-a643-6a6b9f41ef9e
Meyerhoff Scholarship Program,,http://viaf.org/viaf/153963940|||viaf|http://id.loc.gov/authorities/names/no2005039202|||lcnaf,,,Meyerhoff Scholarship Program,,,,0f8a7530-9517-4b81-bd99-3860f7e05eb9
Mezzo-tint Studio,"Location information: Washington, DC|basic_html|Location information: Washington, DC",,,,Mezzo-tint Studio,,,,13efd587-0e8e-47ef-8231-838ccf6bfa05
Michigan State University. Photographic Lab,,,,,Michigan State University,,Photographic Lab,,537a0c8b-0d1d-4ef0-b674-b9ec3dfad955
Middle States Association of Colleges and Schools,,http://viaf.org/viaf/144224176|||viaf|http://id.loc.gov/authorities/names/n78030211|||lcnaf,,,Middle States Association of Colleges and Schools,,,,4ea40328-df54-480b-9424-eebaed3cbc50
Milner Productions,,,,,Milner Productions,,,,0e6ab901-4252-496a-b50c-fa170ed22854
Milton S. Eisenhower Library,,http://viaf.org/viaf/136069532|||viaf|http://id.loc.gov/authorities/names/n82151454|||lcnaf,,,Milton S. Eisenhower Library,,,,bcdc9b8e-b7e8-4888-8925-77bfa3f4caa0
Milton S. Eisenhower Symposium,,http://viaf.org/viaf/133150521|||viaf|http://id.loc.gov/authorities/names/n85098381|||lcnaf,,,Milton S. Eisenhower Symposium,,,,f0f30a15-7d8f-4f17-9b0e-ece8246cd870tid
Milton S. Hershey Medical Center,,http://viaf.org/viaf/167472916|||viaf|http://id.loc.gov/authorities/names/n77015020|||lcnaf,,,Milton S. Hershey Medical Center,,,,d73c3b3e-4856-45ac-b303-e2a514ef4f98
Mitchel Studios,,,,,Mitchel Studios,,,,73dcab2c-192a-40ca-85ba-0bb142d0ca0a
Mitchell Studios,,,,,Mitchell Studios,,,,ab899644-912b-439f-930f-fb2286c890a7
Monsanto Company,,http://viaf.org/viaf/531145424654886830565|||viaf|http://id.loc.gov/authorities/names/n50005737|||lcnaf,,,Monsanto Company,,,,09dcf5f8-9038-4aaf-a50c-7942a1a7ee09
Montgomery Ward,,http://viaf.org/viaf/134855151|||viaf|http://id.loc.gov/authorities/names/n79075632|||lcnaf,,,Montgomery Ward,,,,a8719b95-3522-4821-ae73-f138e6217754
Morton Tadder Associates,,,,,Morton Tadder Associates,,,,3b37ea01-6cb1-4b08-bbfa-3acea520e2db
Mount Holyoke College,,http://viaf.org/viaf/124914975|||viaf|http://id.loc.gov/authorities/names/n79021153|||lcnaf,,,Mount Holyoke College,,,,d6cb0d0e-3112-4264-a805-102f8710b1b9
Mu Phi Epsilon,,http://viaf.org/viaf/151275948|||viaf|http://id.loc.gov/authorities/names/n81012249|||lcnaf,,,Mu Phi Epsilon,,,,4b6ef0f8-7226-4ca7-bbdc-bbed13480db2
National Academy of Sciences (U.S.),,http://viaf.org/viaf/128058762|||viaf|https://id.loc.gov/authorities/names/n79056514|||lcnaf,,,National Academy of Sciences (U.S.),,,,fe94edfd-b8fa-4ae0-9c9d-b796cedec898
National Association of State Universities and Land-Grant Colleges,,http://viaf.org/viaf/152966196|||viaf|http://id.loc.gov/authorities/names/n81024734|||lcnaf,,,National Association of State Universities and Land-Grant Colleges,,,,d3073a5c-4f29-42a0-a742-27fa79338099
National Institute of Standards and Technology (U.S.),,http://viaf.org/viaf/131110795|||viaf|http://id.loc.gov/authorities/names/n88112126|||lcnaf,,,National Institute of Standards and Technology (U.S.),,,,3b57c6af-2438-4b20-9d64-4e237b11fe12
National Institutes of Health (U.S.),,http://viaf.org/viaf/223553453|||viaf|http://id.loc.gov/authorities/names/n78085445|||lcnaf,,,National Institutes of Health (U.S.),,,,3eb3ed97-fee0-4a84-b57c-ce4331f35e4c
National Opinion Research Center,,http://viaf.org/viaf/130871519|||viaf|http://id.loc.gov/authorities/names/n79120282|||lcnaf,,,National Opinion Research Center,,,,08b39cb9-ca53-4f4f-b1da-4d547158208e
National Organization for Women,,http://viaf.org/viaf/136522669|||viaf|http://id.loc.gov/authorities/names/n50063455|||lcnaf,,,National Organization for Women,,,,ade42fd0-37e9-4812-9ccc-7f758a8593a0
National Science Foundation (U.S.),,http://viaf.org/viaf/157365449|||viaf|http://id.loc.gov/authorities/names/n79005681|||lcnaf,,,National Science Foundation (U.S.),,,,cec0b69c-0a9b-4a28-a064-5575eb5e7f95
Nationalsozialistische Deutsche Arbeiter-Partei,,http://viaf.org/viaf/146810847|||viaf|http://id.loc.gov/authorities/names/no2011065855|||lcnaf,,,National Socialist Party,,,,3812c92d-a585-4057-beea-361fe5940e04
Nautilus (Submarine : SSN-571),,http://viaf.org/viaf/135977854|||viaf|http://id.loc.gov/authorities/names/n81070676|||lcnaf,,,Nautilus (Submarine : SSN-571),,,,79598852-eb5b-4d9f-8d89-52c7f8ad136e
Naval Research Laboratory (U.S.),,http://viaf.org/viaf/132509966|||viaf|http://id.loc.gov/authorities/names/n79054558|||lcnaf,,,Naval Research Laboratory (U.S.),,,,ea87bdbb-1e38-4d9b-914a-78350dcb2e61
New Horizons (Spacecraft),,http://viaf.org/viaf/310713857|||viaf|http://id.loc.gov/authorities/names/n2014061514|||lcnaf,,,New Horizons (Spacecraft),,,,9f99d1b2-0ab9-4ffd-abc0-581e2355d146
New York Newsday,,,,,New York Newsday,,,,1e3f1523-60c6-4042-995d-258541a38fa1
New York Times company,,http://viaf.org/viaf/192149064|||viaf,,,New York Times company,,,,127d5b0e-61ee-4939-807b-659a14f3e0a2
New York Times Studio,,,,,New York Times Studio,,,,546709ca-9939-4978-9be6-2a4ed8ecbd54
New York University. School of Law,,http://viaf.org/viaf/144113313|||viaf|http://id.loc.gov/authorities/names/n81013381|||lcnaf,,,New York University,,School of Law,,bf779e79-01b0-4496-b6ed-f77512abfbf2
